"","Crime.Type","Crime.Solved","Victim.Sex","Victim.Age","Victim.Race","Perpetrator.Sex","Perpetrator.Age","Perpetrator.Race","Relationship","Weapon"
"624125","Murder or Manslaughter","No","Male",31,"White","Unknown",0,"Unknown","Unknown","Firearm"
"624126","Manslaughter by Negligence","Yes","Male",55,"White","Female",64,"White","Unknown","Fire"
"624127","Murder or Manslaughter","Yes","Male",22,"Black","Male",19,"White","Neighbor","Firearm"
"624128","Murder or Manslaughter","No","Male",55,"Native American/Alaska Native","Unknown",0,"Unknown","Unknown","Firearm"
"624129","Murder or Manslaughter","Yes","Female",15,"Black","Male",24,"Black","Acquaintance","Firearm"
"624130","Manslaughter by Negligence","Yes","Male",36,"Black","Male",39,"Native American/Alaska Native","Stranger","Blunt Object"
"624131","Murder or Manslaughter","Yes","Female",20,"White","Male",22,"White","Girlfriend","Firearm"
"624132","Murder or Manslaughter","Yes","Male",51,"White","Male",38,"Native American/Alaska Native","Family","Knife"
"624133","Murder or Manslaughter","Yes","Male",63,"Asian/Pacific Islander","Male",51,"White","Unknown","Gun"
"624134","Murder or Manslaughter","Yes","Male",23,"White","Male",26,"Black","Acquaintance","Firearm"
"624135","Murder or Manslaughter","Yes","Female",19,"White","Male",28,"White","Girlfriend","Blunt Object"
"624136","Murder or Manslaughter","Yes","Male",64,"Black","Male",16,"Native American/Alaska Native","Unknown","Firearm"
"624137","Murder or Manslaughter","Yes","Female",54,"Native American/Alaska Native","Male",46,"White","Unknown","Blunt Object"
"624138","Murder or Manslaughter","Yes","Female",50,"White","Male",17,"White","Stranger","Fire"
"624139","Murder or Manslaughter","Yes","Female",39,"White","Male",17,"White","Acquaintance","Knife"
"624140","Murder or Manslaughter","Yes","Female",35,"White","Male",38,"White","Wife","Handgun"
"624141","Murder or Manslaughter","Yes","Female",33,"Native American/Alaska Native","Female",25,"Native American/Alaska Native","Unknown","Handgun"
"624142","Murder or Manslaughter","Yes","Male",50,"Native American/Alaska Native","Female",26,"Native American/Alaska Native","Boyfriend","Knife"
"624143","Manslaughter by Negligence","Yes","Male",59,"White","Male",44,"Asian/Pacific Islander","Acquaintance","Knife"
"624144","Murder or Manslaughter","Yes","Male",48,"White","Male",47,"Native American/Alaska Native","Unknown","Firearm"
"624145","Manslaughter by Negligence","Yes","Female",0,"White","Female",27,"White","Daughter","Suffocation"
"624146","Murder or Manslaughter","Yes","Male",44,"Black","Male",28,"Asian/Pacific Islander","Unknown","Blunt Object"
"624147","Murder or Manslaughter","Yes","Male",998,"Native American/Alaska Native","Male",40,"White","Acquaintance","Blunt Object"
"624148","Murder or Manslaughter","Yes","Male",26,"White","Male",20,"Native American/Alaska Native","Stranger","Firearm"
"624149","Murder or Manslaughter","Yes","Female",46,"Native American/Alaska Native","Male",21,"Native American/Alaska Native","Mother","Knife"
"624150","Murder or Manslaughter","Yes","Female",25,"Native American/Alaska Native","Male",26,"Native American/Alaska Native","Acquaintance","Strangulation"
"624151","Murder or Manslaughter","Yes","Male",55,"White","Male",23,"Native American/Alaska Native","Acquaintance","Blunt Object"
"624152","Murder or Manslaughter","No","Male",48,"Native American/Alaska Native","Unknown",0,"Unknown","Unknown","Blunt Object"
"624153","Murder or Manslaughter","Yes","Male",52,"White","Male",30,"Black","Stranger","Handgun"
"624154","Murder or Manslaughter","Yes","Male",45,"Native American/Alaska Native","Male",17,"White","Acquaintance","Handgun"
"624155","Murder or Manslaughter","Yes","Male",25,"Black","Female",23,"Black","Boyfriend","Blunt Object"
"624156","Murder or Manslaughter","Yes","Male",81,"White","Male",23,"White","Employer","Knife"
"624157","Murder or Manslaughter","Yes","Male",45,"White","Male",20,"Native American/Alaska Native","Stranger","Firearm"
"624158","Murder or Manslaughter","Yes","Male",51,"White","Male",37,"White","Employer","Handgun"
"624159","Murder or Manslaughter","Yes","Male",29,"Black","Male",25,"White","Acquaintance","Blunt Object"
"624160","Murder or Manslaughter","Yes","Female",66,"White","Male",19,"Black","Family","Knife"
"624161","Murder or Manslaughter","No","Female",19,"Native American/Alaska Native","Unknown",0,"Unknown","Unknown","Strangulation"
"624162","Manslaughter by Negligence","Yes","Male",59,"White","Male",19,"White","Father","Handgun"
"624163","Murder or Manslaughter","No","Male",36,"Native American/Alaska Native","Unknown",0,"Unknown","Unknown","Shotgun"
"624164","Murder or Manslaughter","Yes","Female",25,"White","Male",25,"White","Wife","Handgun"
"624165","Murder or Manslaughter","Yes","Male",57,"Native American/Alaska Native","Male",21,"Native American/Alaska Native","Mother","Knife"
"624166","Murder or Manslaughter","Yes","Female",47,"White","Male",69,"White","Daughter","Handgun"
"624167","Murder or Manslaughter","No","Female",31,"Native American/Alaska Native","Unknown",0,"Unknown","Unknown","Blunt Object"
"624168","Murder or Manslaughter","Yes","Female",28,"White","Male",31,"White","Acquaintance","Firearm"
"624169","Murder or Manslaughter","Yes","Male",28,"Native American/Alaska Native","Female",20,"Native American/Alaska Native","Family","Knife"
"624170","Murder or Manslaughter","Yes","Male",24,"Native American/Alaska Native","Male",27,"White","Stranger","Firearm"
"624171","Murder or Manslaughter","Yes","Male",48,"White","Male",47,"Native American/Alaska Native","Stranger","Shotgun"
"624172","Murder or Manslaughter","Yes","Female",29,"Black","Male",29,"Black","Wife","Handgun"
"624173","Murder or Manslaughter","Yes","Male",38,"White","Female",32,"White","Unknown","Firearm"
"624174","Murder or Manslaughter","Yes","Male",32,"Black","Male",24,"Black","Unknown","Handgun"
"624175","Murder or Manslaughter","Yes","Male",78,"White","Male",37,"White","Family","Handgun"
"624176","Murder or Manslaughter","No","Male",54,"White","Unknown",0,"Unknown","Unknown","Handgun"
"624177","Murder or Manslaughter","Yes","Female",76,"White","Male",26,"White","Family","Knife"
"624178","Murder or Manslaughter","Yes","Male",65,"White","Male",50,"White","Friend","Shotgun"
"624179","Murder or Manslaughter","Yes","Female",75,"White","Male",61,"White","Acquaintance","Suffocation"
